Company Name,Employer Website,Employer Phone,Employer Logo,Company Description,Location,City,State,Country,Zip Code,,,,
The American School in Japan,www.asij.ac.jp,+81 422 34 5300,https://bluegreensheet.mysmartjobboard.com/download/231/f78f9df7fdb73bc72a88ad427b5b2d86,"<p><span>Founded in 1902, The American School in Japan (ASIJ) is one of the oldest and most well-regarded international schools in the world.&nbsp;&nbsp;</span></p>
<p><span>ASIJ offers an enriched American curriculum to students of all nationalities that features the development of experiences that extend beyond traditional academics, including real-world internships, high-quality advisory experiences, learning partnerships, and service learning opportunities.</span></p>
<p><span>ASIJ&rsquo;s student body consists of approximately 1,700 students (N-12) representing nearly 60 different nationalities. Beyond its rigorous academic program, ASIJ offers diverse co-curricular opportunities and learning experiences that leverage its location and partnerships in Tokyo.&nbsp; As our mission states, ASIJ focuses on fostering a community of inquisitive learners and independent thinkers, inspired to be their best selves, and empowered to make a difference in the world.&nbsp;</span></p>
<p><span>At ASIJ, we believe that a school should be a safe, child-centered place where educators are idealistic about the potential of every student and tenacious in their support for each student as she learns, takes risks, makes mistakes, and grows. We believe that every student has the right to learn and that we have an obligation to know, value, and care for each child. We believe that creativity and independent thinking happen when students are highly engaged, especially when purposeful assessment drives learning and when goals are clear, focused, and personalized. We believe that students excel in a learning environment where they receive high quality feedback, opportunities for reflection, and a culture in which they frequently self-assess their own learning. We believe that students should learn through authentic experiences that challenge them to identify, understand, and solve complex multidisciplinary problems.&nbsp;</span></p>
<p>All this, and more, is embodied in ASIJ&rsquo;s <a href=""https://issuu.com/asij/docs/vision_2030"">Vision 2030</a>, an aspirational roadmap that will guide us in the years ahead.</p>","Tokyo, Japan",,Tokyo,Japan,,,,,
The Buckley School,www.buckley.org,650-380-5156,,,"Sherman Oaks, Los Angeles, CA, USA",Los Angeles,California,United States,,,,,
Mercersburg Academy,www.mercersburg.edu,7173286238,https://bluegreensheet.mysmartjobboard.com/download/230/20cc0d89e4055756008890865330364e,"<p>Mercersburg Academy is a carefully constructed environment that allows young people to navigate their teenage years unfettered but appropriately supervised. Mercersburg has more than 125 years of perfecting what it means to be a proving ground for college and life&mdash;a place for students to grow, develop, and define themselves. With students from 29 states and 36 countries, Mercersburg is a microcosm of our global community, with diversity of ethnicity, culture, and thought. We<br>offer a beautiful 300-acre campus with impressive facilities, 153 academic courses, 27 varsity sports, seven music, dance, and theatre ensembles, 43 clubs and organizations, an outdoor education program, and a global travel program. Our faculty have dedicated their professional careers to working with adolescents, and our students discover who they are and graduate inspired to change the world.</p>
<p>Mercersburg&rsquo;s proud history and rich traditions date back to 1836, when the Academy&rsquo;s predecessor, Marshall College, was founded at Mercersburg. Marshall College moved to Lancaster, Pennsylvania, in 1853, but the preparatory department of the college remained on its original site. It was chartered as Mercersburg College in 1865. In 1893, Mercersburg&rsquo;s Board of Regents elected William Mann Irvine to lead the institution. Within months, Dr. Irvine renamed the school Mercersburg Academy and reorganized it as a college-preparatory school based on the Exeter model.</p>","Mercersburg, PA, USA",Mercersburg,Pennsylvania,United States,17236,,,,
RG 175,https://www.rg175.com/,,https://bluegreensheet.mysmartjobboard.com/download/228/c6e798ef4e5ed63ecd40c690550f674b,"<p>RG175 is dedicated to understanding the unique mission of each of our independent and international school clients and leveraging our many years of meaningful leadership experience to deliver excellence in school leadership, governance for schools, and other non-profit organizations.</p>
<p>Because of the ever-increasing complexity of the job, successful, long-serving former heads of school have a unique combination of the skills and expertise needed to identify outstanding leaders and educators who have the right combination of experience, personality, and skills to lead a school to the next level. We know the independent school business. Each consultant&rsquo;s life purpose has been to help young people realize their potential and become their best selves. We have done this by teaching, coaching, and leading. Today we do this by helping schools identify, cultivate, and support independent school leaders.</p>",,,,,,,,,
The Park School of Baltimore,www.parkschool.net,4439282802,,,"Baltimore, MD, USA",Baltimore,Maryland,United States,,,,,
LHD Consulting,,,,,"Providence, RI, USA",Providence,Rhode Island,United States,,,,,
Almaden Country School,https://www.almadencountrydayschool.org/,4086676713,,,"San Jose, CA, USA",San Jose,California,United States,,,,,
Village Christian School,www.villagechristian.org,8187678382,https://bluegreensheet.mysmartjobboard.com/download/219/2eaaa7549d840e6c0cd4e10dee8d6a17,"<p>Village Christian School was founded in 1949 as an outreach to the community providing an innovative Christ-centered education that equips students to be leaders and influencers. From our humble beginnings in a small church building in Burbank with only forty Elementary students, VCS has grown into one of the largest JK-12th grade private schools in Southern California, where the beauty of our 30-acre campus provides a pleasing work atmosphere where employees are surrounded by God&rsquo;s delightful creation.</p>
<p>As we work to ensure every student thrives at VCS and beyond, we do so within the context of our core CARE values &mdash; Christ-centered, Affordable and Accessible, Real Relationships, and Educational Excellence.</p>
<p>God is doing great things at Village Christian as students develop essential skills for current and future success. They are fostering the mindset and cultivating new abilities necessary to distinguish themselves in an ever-shifting culture, preparing them to leave here ready to overcome tomorrow's challenges.</p>
<p>VCS is a truly unique place: a dynamic and diverse community of scholars, athletes, and artists thriving as they develop their God-given abilities. These amazing students are nurtured by caring professionals, who excel at inspiring students. Our faculty employs cutting-edge curriculum within innovative research-based programs, utilizing newly renovated facilities that host all the activities a student could wish for in a safe, family-oriented atmosphere.</p>","Sun Valley, Los Angeles, CA, USA",Los Angeles,California,United States,,,,,
Northwest Academy,www.nwacademy.org,503.482.7580,https://bluegreensheet.mysmartjobboard.com/download/218/44e2a2aaeefbf09e1012a67b43fa2731,"<div>Northwest Academy is a college preparatory middle and high school combining challenging academics with artistic exploration. Our inclusive community offers a supportive learning environment where you'll find opportunities to stretch into new ideas, explore new disciplines, be a beginner at some things, and grow your expertise at others.</div>
<div>&nbsp;</div>
<div>&nbsp;</div>","1130 SW Main Street, Portland, OR, 97205",Portland,Oregon,United States,97205,,,,
Austin Prep,www.austinprep.org,7819444900,https://bluegreensheet.mysmartjobboard.com/download/216/6fea0cdbea930e048be61e3c0b2b19ce,,"Reading, MA, USA",Reading,Massachusetts,United States,,,,,
Near North Montessori School,www.nnms.org,773-269-6290,https://bluegreensheet.mysmartjobboard.com/download/214/966618d2869bfcbbf48e0e1aa8c9c965,"<p>Over 60 years old, NNM serves 556 students from toddlers to 8th Grade. Located near Wicker Park in Chicago, NNM is one of the largest Montessori schools in the nation. Highly regarded for its Montessori pedagogy and innovation, NNM hosts a rooftop garden, an innovation studio, a swimming pool, a playground, a rooftop urban farm, and a Sandwich Shoppe which is managed by students.</p>
<p><span>Learn more about us on our website:&nbsp;</span><a href=""http://www.nnms.org/"">www.nnms.org</a></p>
<p></p>","1434 West Division Street, Chicago, IL, USA",Chicago,Illinois,United States,60642,,,,
LHD School Search,,,,,,,,,,,,,
The Benjamin School,,5616263747,https://bluegreensheet.mysmartjobboard.com/download/208/19de32f499dc61a34cf9fa957902b54d,"<p><span>The Benjamin School is an independent co-educational day school serving students from ages 3 through grade 12 in Palm Beach County. The School resides on two campuses: the 14-acre Lower and Middle School campus in North Palm Beach and the 50-acre Upper School campus in Palm Beach Gardens. Approximately 155 teachers and associates are responsible for about 1284 students. The Lower School currently serves 442 students in grades PK3 through 5; the Middle School enrolls 225 students in grades 6-8, and the Upper School has 392 students in grades 9-12. The School&rsquo;s rigorous and varied program prepares its students for acceptance to 4-year colleges.</span></p>","North Palm Beach, FL, USA",North Palm Beach,Florida,United States,,,,,
Asheville School,www.ashevilleschool.org,7069823882,https://bluegreensheet.mysmartjobboard.com/download/207/a86682e76c4fc4f8fe8afac09ae3589a,"<p>Asheville School is a private, university-preparatory boarding school located in Asheville, North Carolina. Founded in 1900, the school has a long-standing tradition of academic excellence, character development, and a strong commitment to fostering a close-knit community. Its picturesque 300-acre&nbsp; campus is situated amid the scenic Blue Ridge Mountains, providing students with an inspiring learning environment.</p>
<p>The school enrolls approximately 300 students in grades nine through twelve, offering a rigorous college-preparatory curriculum designed to challenge students intellectually while encouraging critical thinking, creativity, and leadership. Small class sizes and a low student-to-faculty ratio ensure personalized attention, allowing students to engage deeply with their studies and form strong relationships with their teachers and peers. Eighty-five percent of the the students are boarders.</p>
<p>In recognition of its stunning setting and architectural beauty, <em>Architectural Digest</em> named Asheville School the most beautiful private school campus in North Carolina. The school&rsquo;s historic buildings, well-maintained grounds, and modern facilities contribute to an atmosphere that blends tradition with innovation. Additionally,&nbsp; <em>TheBestSchools.org</em> ranked Asheville School as the seventh-best boarding school in the United States, highlighting its strong academic reputation, vibrant residential life, and emphasis on character development.</p>
<p>Beyond academics, Asheville School offers a wide range of extracurricular activities, including athletics, arts, outdoor education, and community service opportunities. The school&rsquo;s commitment to holistic education ensures that students not only excel academically but also develop leadership skills, resilience, and a sense of responsibility to their communities. Through a combination of challenging coursework, diverse extracurricular offerings, and a supportive residential environment, Asheville School prepares students for success in higher education and beyond.</p>","Asheville, NC, USA",Asheville,North Carolina,United States,,,,,
Resource Group 175,www.rg175.com,330-310-1270,https://bluegreensheet.mysmartjobboard.com/download/225/78b1518026f8da18a214aaa790b81e9c,"<p>RG175 is a retained search firm for independent school leadership. These leadership positions include head of school, assistant, head, division, heads, directors of advancement and enrollment, and athletic Director.</p>
<p>The firm has 21 consultants, 17 of whom are former long-standing Heads of school. Two others are renowned directors of advancement and two others are renowned senior administrators in schools. We are fully committed to building a strong partnership with schools candidates and search committees. Our seasoned experience in search work enables us to build great relationships with schools and assist in improving the schools beyond just the search.</p>","Hudson, Ohio, USA",Hudson,Ohio,United States,,,,,
Heathwood Hall Episcopal School,www.heathwood.org,8032317739,https://bluegreensheet.mysmartjobboard.com/download/204/7ddc9a531eb9021bad0cb8222ea2c0c0,"<h3>Mission Statement</h3>
<p>Heathwood Hall Episcopal School cultivates creative and critical thinking, develops leadership and social skills, and promotes service to others over the pursuit of self-interest through a rich academic and extracurricular program in a supportive community of talented educators and engaged students.</p>
<h3>Vision Statement</h3>
<p>To inspire and empower students to unlock their potential, develop their character, and gain the confidence to transform a dynamic&nbsp;world.</p>
<div>
<div data-item-count=""1"">
<div data-item=""0"">
<p>Heathwood Hall is an Episcopal school. As such, we are charged with the educational and spiritual development of students of all faiths and backgrounds. While most of our students are Christian, we welcome students from all religions and cultural backgrounds and feel that our community is richer for that diversity.</p>
<p>Like all Episcopal schools, Heathwood integrates spiritual formation into students&rsquo; daily experience. All students and faculty gather for worship and prayer each week in the Chapel of the Epiphany. We use the Episcopal Church&rsquo;s Book of Common Prayer and honor all religious holidays. We seek unity through common prayer, not common doctrine. As an Episcopal community, we worship, learn, and serve together in the recognition that God is the center of life.&nbsp;</p>
<p>With God&rsquo;s help, Heathwood strives for justice and peace among all peoples, respects the dignity of every human being, embraces social responsibility and is devoted to good stewardship of the earth.&nbsp; Every subject at every level is taught in the context of a community of learners created in the image of God.</p>
<p>Through the habit of regular Chapel attendance, our students experience the rhythms of corporate worship, the benefits of common prayer, and the value of spiritual reflection. It is our hope they become more able to grapple with life&rsquo;s meaning and value and to practice those lessons of mind and heart in the world.</p>
</div>
</div>
</div>
<div data-item-count=""1"">
<div data-item=""0"">
<div>
<div><a href=""https://vimeo.com/401077431"" data-fancybox="""">Watch video - The Episcopal School for All</a>
<div>
<div></div>
</div>
</div>
</div>
</div>
</div>","Columbia, South Carolina, USA",Columbia,South Carolina,United States,,,,,
JobfitMatters Executive Search,https://jobfitmatters.com/,615-261-4623,https://bluegreensheet.mysmartjobboard.com/download/203/ee6883378bd96cc190688a657ecbd12d,,,,,,,,,,
Campbell & Company,https://www.campbellcompany.com/,,https://bluegreensheet.mysmartjobboard.com/download/196/6e7cc25563bf29e9ee30e569e9edb8d0,"<p>Campbell &amp; Company is a national nonprofit consulting firm that helps organizations create greater impact through fundraising, communications, executive search, and strategic information services. Since 1976, we have partnered with thousands of nonprofits across all sectors on their journey to change lives.&nbsp;</p>",,,,,,,,,
St. Michael's Country Day School,www.smcds.org,,https://bluegreensheet.mysmartjobboard.com/download/195/2230500d0bf99a17e9eaad692a5d0cea,,"180 Rhode Island Avenue, Newport, RI 02840, USA",Newport,Rhode Island,United States,2840,,,,
"Isaacson, Miller",www.imsearch.com/,,https://bluegreensheet.mysmartjobboard.com/download/173/e52d96ed4847c28565d7ef605359e0a6,"<p>Isaacson, Miller recruits transformational leaders with a proven record of excellence, integrity, and impact. Building on four decades of experience, we partner with organizations that advance the public good.</p>
<p>We identify highly qualified candidates from a broad range of backgrounds and contribute to increasingly diverse leadership in our client organizations; in 2023, 72% of our placements identified as women or were people of color.&nbsp;</p>
<p>Our consultants bring extensive expertise to help our clients build extraordinary leadership teams consisting of the finest talent in the field.</p>",,,,,,,,,
DSG Storbeck,www.dsgco.com/industry/education/,,https://bluegreensheet.mysmartjobboard.com/download/211/290508afb93335bca7c7a3555d4294d6,"<p>DSG Global is a leading executive search and consulting firm delivering exceptional outcomes for our clients. With expert insights and specialization across industries and sectors, we offer customized strategic support to drive measurable results through leadership. Leveraging decades of experience and global reach, we have a proven history of partnering with leaders to navigate successful transformations that achieve sustained growth and positive impact.</p>",,,,,,,,,
Educational Directions,www.edu-directions.com,,https://bluegreensheet.mysmartjobboard.com/download/158/c7788b1e1082169768f2d7a8da6ad481,"<p>Connecting&nbsp;schools with outstanding leadership. Founded in 1986, Educational Directions is a nationally recognized consulting firm and an acknowledged leader in searches&nbsp;for heads of school and administrators.<o:p></o:p></p>",,,,,,,,,
Educational Directions,www.edu-directions.com,,https://bluegreensheet.mysmartjobboard.com/download/157/766908da39e3299d7cae2ec19eabad78,"<p>Connecting&nbsp;schools with outstanding leadership. Founded in 1986, Educational Directions is a nationally recognized consulting firm and an acknowledged leader in searches&nbsp;for heads of school and administrators.<o:p></o:p></p>",,,,,,,,,
Educators Collaborative,www.educatorscollaborative.com,,https://bluegreensheet.mysmartjobboard.com/download/122/228be8f14633e8f462601dc15044dbef,"<p>Educators Collaborative, LLC is a consortium of former independent school heads whose hands-on leadership experience is one of our clients&rsquo; most valuable resources. The twelve Educators Collaborative Partners have acted as the heads of independent schools of all types and sizes in all regions of the country. Collectively, the partners have served more than 75 educational institutions as directors or trustees. EC Partners have also served regional accrediting agencies as chairs of committees evaluating dozens of independent schools in the United States and abroad.</p>
<p>Our experience provides us critical insight into the world of independent schools and not-for-profit organizations. Drawing on this experience, our partners come to each consultation situation with a unique perspective &mdash; looking not from the outside in, but from within the dynamic environment we share with clients.</p>
<p>More than 900 schools, colleges, and other non-public and public nonprofit organizations have turned to Educators Collaborative for consulting services.</p>",,,,,,,,,
Potomac Crescent Waldorf School,www.potomacwaldorf.org,,https://bluegreensheet.mysmartjobboard.com/download/144/3cc45915bf562b0227fd756096f8e75c,,,,,,,,,,
Educators Collaborative,www.educatorscollaborative.com,,https://bluegreensheet.mysmartjobboard.com/download/123/0bc2a1cc3880784754e1bc4f44bfe54b,"<p>Educators Collaborative, LLC is a consortium of former independent school heads whose hands-on leadership experience is one of our clients&rsquo; most valuable resources. The twelve Educators Collaborative Partners have acted as the heads of independent schools of all types and sizes in all regions of the country. Collectively, the partners have served more than 75 educational institutions as directors or trustees. EC Partners have also served regional accrediting agencies as chairs of committees evaluating dozens of independent schools in the United States and abroad.</p>
<p>Our experience provides us critical insight into the world of independent schools and not-for-profit organizations. Drawing on this experience, our partners come to each consultation situation with a unique perspective &mdash; looking not from the outside in, but from within the dynamic environment we share with clients.</p>
<p>More than 900 schools, colleges, and other non-public and public nonprofit organizations have turned to Educators Collaborative for consulting services.</p>",,,,,,,,,
Strategenius,www.strategenius.org,,https://bluegreensheet.mysmartjobboard.com/download/132/fa83dc9e983cab9377950be8779291e2,"<p>Strategenius is the premier search firm for schools seeking diverse candidates for teaching and leadership positions. We partner with schools committed to equity, connect them to our diverse network, and match them with exceptional talent. Strategenius is one of the few BIPOC-owned search firms dedicated to serving independent schools.</p>
<p>We are also facilitating a national conversation by trustees for trustees around diversity. The conversation is happening nationally, while practical events are happening regionally.</p>",,,,,,,,,
Educational Directions,www.edu-directions.com,,https://bluegreensheet.mysmartjobboard.com/download/119/32523662d0ad4fdf38fa9fbcf350e74f,"<p>Connecting&nbsp;schools with outstanding leadership. Founded in 1986, Educational Directions is a nationally recognized consulting firm and an acknowledged leader in searches&nbsp;for heads of school and administrators.<o:p></o:p></p>",,,,,,,,,
Independent Thinking,www.independent-thinking.com,,https://bluegreensheet.mysmartjobboard.com/download/126/7540dc251daeee231948d380e904f0ce,"<p>Independent Thinking, a firm comprised of former independent school administrators and teachers, has been successfully partnering with schools since 2000 in the areas of administrator searches and program assessment.</p>
<p>Ten years ago, IT was created to better meet the needs of schools and individuals searching for administrator positions, and now IT has expanded to better meet the needs of schools for all of their hiring needs.</p>",,,,,,,,,
RG 175,www.rg175.com,,https://bluegreensheet.mysmartjobboard.com/download/129/182fef7d6deb8bcc037e7b5b3bdaa043,"<p>Resource Group 175 is a retained search firm for independent school leadership. We are all long term and successful heads of schools who come together to offer highly personalized consolation with candidates, schools, and search committees. We take great pride in the time and attention we provide to educational leaders, sharing our expertise and insights in order to promote leadership.</p>
<p>Because of the ever-increasing complexity of the job, successful, long-serving former heads of school have a unique combination of the skills and expertise needed to identify outstanding leaders and educators who have the right combination of experience, personality, and skills to lead a school to the next level. We know the independent school business. Each consultant&rsquo;s life purpose has been to help young people realize their potential and become their best selves. We have done this by teaching, coaching, and leading. Today we do this by helping schools identify, cultivate, and support independent school leaders.</p>",,,,,,,,,
Yellow Wood Academy,www.yellowwoodacademy.org,,https://bluegreensheet.mysmartjobboard.com/download/153/4dd8e5c24fcf176b21e42c7cc02ab9cc,,,,,,,,,,
Educators Collaborative,www.educatorscollaborative.com,,https://bluegreensheet.mysmartjobboard.com/download/124/d6ded6f7b36d5e9d6be5dd90b7e8e635,"<p>Educators Collaborative, LLC is a consortium of former independent school heads whose hands-on leadership experience is one of our clients&rsquo; most valuable resources. The twelve Educators Collaborative Partners have acted as the heads of independent schools of all types and sizes in all regions of the country. Collectively, the partners have served more than 75 educational institutions as directors or trustees. EC Partners have also served regional accrediting agencies as chairs of committees evaluating dozens of independent schools in the United States and abroad.</p>
<p>Our experience provides us critical insight into the world of independent schools and not-for-profit organizations. Drawing on this experience, our partners come to each consultation situation with a unique perspective &mdash; looking not from the outside in, but from within the dynamic environment we share with clients.</p>
<p>More than 900 schools, colleges, and other non-public and public nonprofit organizations have turned to Educators Collaborative for consulting services.</p>",,,,,,,,,
Educational Directions,www.edu-directions.com,,https://bluegreensheet.mysmartjobboard.com/download/120/bb4dba9bb8ba9abcb0ed1d39a7ba889a,"<p>Connecting&nbsp;schools with outstanding leadership. Founded in 1986, Educational Directions is a nationally recognized consulting firm and an acknowledged leader in searches&nbsp;for heads of school and administrators.<o:p></o:p></p>",,,,,,,,,
DRG,www.drgtalent.com,,https://bluegreensheet.mysmartjobboard.com/download/116/f151fe221473e300925e45108b76f8ac,"<p>We serve nonprofit organizations that care for, inspire, and enrich the lives of people all over the world. Our team of talent advisors shares a commitment to the values that matter to our clients, bringing more than 30 years of experience to serving the nonprofit community.</p>
<p>As a Talent Advisory Group, we offer a suite of services to help nonprofits search for, attract, and nurture innovative, diverse leadership for their organizations. We also help organizations maximize their impact through talent assessments, transition planning, and by providing insights into compensation and organizational design.</p>
<p>Our mission is to support nonprofits in bringing together the right leadership, talent, culture, and structure&mdash;so people and organizations can thrive together.</p>",,,,,,,,,
RG 175,www.rg175.com,,https://bluegreensheet.mysmartjobboard.com/download/130/a9bd2ea9233f52561490e8c8548b02fd,"<p>Resource Group 175 is a retained search firm for independent school leadership. We are all long term and successful heads of schools who come together to offer highly personalized consolation with candidates, schools, and search committees. We take great pride in the time and attention we provide to educational leaders, sharing our expertise and insights in order to promote leadership.</p>
<p>Because of the ever-increasing complexity of the job, successful, long-serving former heads of school have a unique combination of the skills and expertise needed to identify outstanding leaders and educators who have the right combination of experience, personality, and skills to lead a school to the next level. We know the independent school business. Each consultant&rsquo;s life purpose has been to help young people realize their potential and become their best selves. We have done this by teaching, coaching, and leading. Today we do this by helping schools identify, cultivate, and support independent school leaders.</p>",,,,,,,,,
Williamsburg Christian Academy,www.williamsburgchristian.org,,https://bluegreensheet.mysmartjobboard.com/download/142/8f83836a03b2f773b2ecb27f3b6b9791,,,,,,,,,,
The Education Group,www.educationgroup.com,,https://bluegreensheet.mysmartjobboard.com/download/133/20f199de2433b1a99a43d9eed7f600e4,"<p>The Education Group works in a distinctly personalized way to help independent schools with their hiring needs. We collaborate with every search team, catering searches for each school in order to find the best leaders. By getting to know our candidates, understanding the distinctive culture and needs of our schools, and screening the specific requirements of the position, we are able to make strong referrals and successful candidate/school matches.</p>
<p>Each member of The Education Group is a former educator or administrator of some of the nation&rsquo;s top institutions. Our consultants and coaches bring over 30 years of knowledge and experience to each engagement, enabling us to provide a curated network of candidates that is personally vetted for success.</p>
<p>Mission: The Education Group provides top-tier, personalized candidate placement services for independent schools by collaborating directly with search teams, school administrators, and stakeholders in order to produce successful candidate/school matches.</p>
<p>Services:</p>
<p>Leadership Searches: Search services designed to find the best candidate for your school.</p>
<ul>
<li>Head of School</li>
<li>Administrative Roles</li>
</ul>
<p>Placement: Promoting top talent for the nation&rsquo;s most competitive independent schools</p>
<ul>
<li>Top Administrative Roles</li>
<li>Classroom positions</li>
</ul>
<p>Executive Coaching: Learning is a lifelong process</p>
<ul>
<li>Head of School Coaching Sessions</li>
<li>Career Planning Counseling Sessions for Aspiring Heads</li>
<li>Board of Trustees Governance Workshops</li>
<li>Board of Trustees Training Workshops</li>
<li>Board of Trustees Strategic Planning Workshops</li>
</ul>",,,,,,,,,
Educational Directions,www.edudx.com,,https://bluegreensheet.mysmartjobboard.com/download/136/98f08fd1f16550823c75fffc32b02c83,"<p>Connecting&nbsp;schools with outstanding leadership. Founded in 1986, Educational Directions is a nationally recognized consulting firm and an acknowledged leader in searches&nbsp;for heads of school and administrators.</p>",,,,,,,,,
DRG,www.drgtalent.com,,https://bluegreensheet.mysmartjobboard.com/download/115/e8b80c01e7df4397a281c06a0dea9a7e,"<p>We serve nonprofit organizations that care for, inspire, and enrich the lives of people all over the world. Our team of talent advisors shares a commitment to the values that matter to our clients, bringing more than 30 years of experience to serving the nonprofit community.</p>
<p>As a Talent Advisory Group, we offer a suite of services to help nonprofits search for, attract, and nurture innovative, diverse leadership for their organizations. We also help organizations maximize their impact through talent assessments, transition planning, and by providing insights into compensation and organizational design.</p>
<p>Our mission is to support nonprofits in bringing together the right leadership, talent, culture, and structure&mdash;so people and organizations can thrive together.</p>",,,,,,,,,
-,,,https://bluegreensheet.mysmartjobboard.com/download/274/6131942cdfb08911d3a56074606b409b,,,,,,,,,,
Educators Collaborative,www.educatorscollaborative.com,,https://bluegreensheet.mysmartjobboard.com/download/121/cafde280d0533807c5a848152e33db97,"<p>Educators Collaborative, LLC is a consortium of former independent school heads whose hands-on leadership experience is one of our clients&rsquo; most valuable resources. The twelve Educators Collaborative Partners have acted as the heads of independent schools of all types and sizes in all regions of the country. Collectively, the partners have served more than 75 educational institutions as directors or trustees. EC Partners have also served regional accrediting agencies as chairs of committees evaluating dozens of independent schools in the United States and abroad.</p>
<p>Our experience provides us critical insight into the world of independent schools and not-for-profit organizations. Drawing on this experience, our partners come to each consultation situation with a unique perspective &mdash; looking not from the outside in, but from within the dynamic environment we share with clients.</p>
<p>More than 900 schools, colleges, and other non-public and public nonprofit organizations have turned to Educators Collaborative for consulting services.</p>",,,,,,,,,
Southern Teachers,www.southernteachers.com,,https://bluegreensheet.mysmartjobboard.com/download/160/eb4319b242317a3428688f6aae5e3997,"<p>Since 1902, ST Search &amp; Consulting (ST) has been dedicated to helping schools find and support exceptional educators, with the mission of aiding member schools in providing the best possible education to their students.</p>
<p>Our staff collectively brings hundreds of years of experience in education and private school leadership, and we are deeply committed to our mission. We apply this personal experience and dedication to all our services, whether administrative placement, AD development, CFO coaching, or retained leadership searches.</p>",,,,,,,,,
The Meadows School,www.themeadowsschool.org,,https://bluegreensheet.mysmartjobboard.com/download/149/9d7c59d40dcea90eefe6b9f2b08e6406,,,,,,,,,,
Lambert & Associates,www.lambertassoc.com,,https://bluegreensheet.mysmartjobboard.com/download/127/a12f622f4719f1a7e2ff27ec36ccdb3a,"<p>SPECIALISTS IN EXECUTIVE SEARCH FOR NONPROFIT ORGANIZATIONS</p>
<p>Lambert &amp; Associates is an executive search firm focused on serving the needs of the nonprofit sector. Founded in 1996 and headquartered outside Philadelphia, PA, we assist the leadership of client organizations in identifying, contacting, screening and hiring exceptional professionals in all specialties of nonprofit management, including fundraising, public communications, marketing and constituent relations.</p>",,,,,,,,,
Jewish Leadership Academy,www.jlamiami.org,,https://bluegreensheet.mysmartjobboard.com/download/140/87623fbfddc53a32cab7ea96458d3f6b,,,,,,,,,,
St. George Episcopal School,www.saintgeorgeschool.org,,https://bluegreensheet.mysmartjobboard.com/download/147/dcc92ce838eeab71c9275335c28f99d7,"<p>Our mission is to help our member schools offer their students the best possible education and experience by providing search and consulting services delivered with skill, care, and integrity. Founded in 1902, Southern Teachers is the oldest school recruiter in America. Historically, the two defining characteristics of our work were a focus on teacher placement and a dedication to serving schools in the South. We performed this work with uncompromising integrity and exceptional service.</p>",,,,,,,,,
Severn School,www.severnschool.com,,https://bluegreensheet.mysmartjobboard.com/download/146/02486308e7461882e6907c3a70813b78,,,,,,,,,,
The Town School,www.thetownschool.org,,https://bluegreensheet.mysmartjobboard.com/download/151/f6ce0f93e791bbc128f0b0e761ddc706,,,,,,,,,,
Vistamar School,www.vistamarschool.org,,https://bluegreensheet.mysmartjobboard.com/download/152/6d56b9b365a2d11aeafbddd4b73e60fb,,,,,,,,,,
The Park School,www.parkschool.net,,https://bluegreensheet.mysmartjobboard.com/download/150/47e74c0375d795db87f264894548a3e1,,,,,,,,,,
Educational Directions,https://edudx.com/,401-683-3523,https://bluegreensheet.mysmartjobboard.com/download/212/d77c51488a32312a191695576d80ebfc,"<p>Connecting schools with outstanding leadership since 1986, <a href=""https://edudx.com/"" target=""_blank"" rel=""noopener""><strong>Educational Directions (EduDx)</strong></a><br>is a nationally-recognized consulting firm and an acknowledged leader in searches for heads<br>of school and administrators.</p>
<p>At Educational Directions, we believe that changes in leadership are transformational moments that schools should optimize, seizing every opportunity embedded within. This belief drives our intentional work and the way we assist schools undertaking searches for new leadership. EduDx&rsquo;s success in supporting searches is built on:</p>
<p>o &nbsp; Recruiting exceptional candidates<br>o &nbsp; Hands-on style that prioritizes relationship-building and attention to detail&nbsp;<br>o &nbsp; Tenacious candidate assessment<br>o &nbsp; Comprehensive transition planning</p>
<p><br><a href=""https://www.edudx.com"">www.edudx.com</a></p>
<p>401-683-3523</p>",,,,,,,,,
The Hill School,www.thehill.org,,https://bluegreensheet.mysmartjobboard.com/download/148/92af15a9b962a6fd91ac987dc2200ab4,,,,,,,,,,
Menaul School,www.menaulschool.org,,https://bluegreensheet.mysmartjobboard.com/download/143/6dbe00d9eef17dc8da9762ade1151550,,,,,,,,,,
Riverbend School,www.riverbendschool.org,,https://bluegreensheet.mysmartjobboard.com/download/145/ad2a9a49ca00ebd7afc52ba6e8667289,,,,,,,,,,
Narwhal Talent Partners,www.narwhaltalent.com,,https://bluegreensheet.mysmartjobboard.com/download/128/dbdd03dee33a125fe454b89500ab7651,"<p>We serve independent schools, higher education, and purpose-driven ventures when your success depends on attracting extraordinary leaders. We partner with senior leadership, boards, and candidates to complete teams. We offer retained search services, individual and team coaching, and management structure planning services.</p>",,,,,,,,,
12M & Ed Tech Recruiting,https://www.12mrecruiting.com/,,https://bluegreensheet.mysmartjobboard.com/download/299/33874e5993027562658eea8bce84cc45,"<p>12M &amp; Ed Tech Recruiting is a consulting firm with expertise in executive and leadership hiring. &nbsp;We are engaged most often by mission-aligned organizations to support thoughtful, intentional, and inclusive searches for a specific leadership opening.&nbsp; We are not a placement firm, and we don't represent candidates. We run outstanding retained searches driven by methodology and intentionality.</p>",,,,,,,,,
